english,singular,plural,article,noun,x,y,sing+plural,catalan
Time,Die Zeit,Die Zeiten,Die,Zeit,zeit,1,"Die Zeit, Die Zeiten","El temps, els temps"
Man,Der Mann,Die Männer,Der,Mann,mann,0,"Der Mann, Die Männer","L'home, els homes"
Hand,Die Hand,Die Hände,Die,Hand,hand,1,"Die Hand, Die Hände","La mà, les mans"
Day,Der Tag,Die Tage,Der,Tag,tag,0,"Der Tag, Die Tage","El dia, els dies"
Way,Der Weg,Die Wege,Der,Weg,weg,0,"Der Weg, Die Wege","El camí, els camins"
Eye,Das Auge,Die Augen,Das,Auge,auge,2,"Das Auge, Die Augen","L'ull, els ulls"
Thing,Die Sache,Die Sachen,Die,Sache,sache,1,"Die Sache, Die Sachen","La cosa, les coses"
Head,Der Kopf,Die Köpfe,Der,Kopf,kopf,0,"Der Kopf, Die Köpfe","El cap, els caps"
Year,Das Jahr,Die Jahre,Das,Jahr,jahr,2,"Das Jahr, Die Jahre","L'any, els anys"
Room,Das Zimmer,Die Zimmer,Das,Zimmer,zimmer,2,"Das Zimmer, Die Zimmer","L'habitació, les habitacions"
Door,Die Tür,Die Türen,Die,Tür,tür,1,"Die Tür, Die Türen","La porta, les portes"
Woman,Die Frau,Die Frauen,Die,Frau,frau,1,"Die Frau, Die Frauen","La dona, les dones"
Face,Das Gesicht,Die Gesichter,Das,Gesicht,gesicht,2,"Das Gesicht, Die Gesichter","La cara, les cares"
Mother,Die Mutter,Die Mütter,Die,Mutter,mutter,1,"Die Mutter, Die Mütter","La mare, les mares"
People,Die Leute,-,Die,Leute,leute,1,"Die Leute, -","La gent, -"
Night,Die Nacht,Die Nächte,Die,Nacht,nacht,1,"Die Nacht, Die Nächte","La nit, les nits"
House,Das Haus,Die Häuser,Das,Haus,haus,2,"Das Haus, Die Häuser","La casa, les cases"
Father,Der Vater,Die Väter,Der,Vater,vater,0,"Der Vater, Die Väter","El pare, els pares"
Life,Das Leben,Die Leben,Das,Leben,leben,2,"Das Leben, Die Leben","La vida, les vides"
Back,Der Rücken,Die Rücken,Der,Rücken,rücken,0,"Der Rücken, Die Rücken","L'esquena, les esquenes"
Voice,Die Stimme,Die Stimmen,Die,Stimme,stimme,1,"Die Stimme, Die Stimmen","La veu, les veus"
Girl,Das Mädchen,Die Mädchen,Das,Mädchen,mädchen,2,"Das Mädchen, Die Mädchen","La noia, les noies"
Place,Der Ort,Die Orte,Der,Ort,ort,0,"Der Ort, Die Orte","El lloc, els llocs"
Boy,Der Junge,Die Jungen,Der,Junge,junge,0,"Der Junge, Die Jungen","El noi, els nois"
Car,Das Auto,Die Autos,Das,Auto,auto,2,"Das Auto, Die Autos","El cotxe, els cotxes"
Side,Die Seite,Die Seiten,Die,Seite,seite,1,"Die Seite, Die Seiten","La pàgina, les pàgines"
Arm,Der Arm,Die Arme,Der,Arm,arm,0,"Der Arm, Die Arme","El braç, els braços"
Child,Das Kind,Die Kinder,Das,Kind,kind,2,"Das Kind, Die Kinder","El nen, els nens"
Word,Das Wort,Die Wörter,Das,Wort,wort,2,"Das Wort, Die Wörter","La paraula, les paraules"
Moment,Der Moment,Die Momente,Der,Moment,moment,0,"Der Moment, Die Momente","El moment, els moments"
Hair,Das Haar,Die Haare,Das,Haar,haar,2,"Das Haar, Die Haare","El cabell, el cabell"
Foot,Der Fuß,Die Füße,Der,Fuß,fuß,0,"Der Fuß, Die Füße","El peu, els peus"
Water,Das Wasser,-,Das,Wasser,wasser,2,"Das Wasser, -","L'aigua, les aigües"
Light,Das Licht,Die Lichter,Das,Licht,licht,2,"Das Licht, Die Lichter","La llum, les llums"
World,Die Welt,Die Welten,Die,Welt,welt,1,"Die Welt, Die Welten","El món, els mons"
Name,Der Name,Die Namen,Der,Name,name,0,"Der Name, Die Namen","El nom, els noms"
Friend,Der Freund,Die Freunde,Der,Freund,freund,0,"Der Freund, Die Freunde","L'amic, els amics"
Window,Das Fenster,Die Fenster,Das,Fenster,fenster,2,"Das Fenster, Die Fenster","La finestra, les finestres"
Body,Der Körper,Die Körper,Der,Körper,körper,0,"Der Körper, Die Körper","El cos, els cossos"
Table,Der Tisch,Die Tische,Der,Tisch,tisch,0,"Der Tisch, Die Tische","La taula, les taules"
Morning,Der Morgen,Die Morgen,Der,Morgen,morgen,0,"Der Morgen, Die Morgen","El matí, els matins"
Bed,Das Bett,Die Betten,Das,Bett,bett,2,"Das Bett, Die Betten","El llit, els llits"
Wall,Die Wand,Die Wände,Die,Wand,wand,1,"Die Wand, Die Wände","La paret, les parets"
Street,Die Straße,Die Straßen,Die,Straße,straße,1,"Die Straße, Die Straßen","El carrer, els carrers"
School,Die Schule,Die Schulen,Die,Schule,schule,1,"Die Schule, Die Schulen","L'escola, les escoles"
Air,Die Luft,-,Die,Luft,luft,1,"Die Luft, -","L'aire, els aires"
Floor,Der Boden,Die Böden,Der,Boden,boden,0,"Der Boden, Die Böden","El sòl, els sòls"
Hour,Die Stunde,Die Stunden,Die,Stunde,stunde,1,"Die Stunde, Die Stunden","L'hora, les hores"
End,Das Ende,Die Enden,Das,Ende,ende,2,"Das Ende, Die Enden","El final, els finals"
Family,Die Familie,Die Familien,Die,Familie,familie,1,"Die Familie, Die Familien","La família, les famílies"
Guy,Der Kerl,Die Kerle,Der,Kerl,kerl,0,"Der Kerl, Die Kerle","El noi, els nois"
Kind,Das Kind,Die Kinder,Das,Kind,kind,2,"Das Kind, Die Kinder","El nen, els nens"
Minute,Die Minute,Die Minuten,Die,Minute,minute,1,"Die Minute, Die Minuten","El minut, els minuts"
Story,Die Geschichte,Die Geschichten,Die,Geschichte,geschichte,1,"Die Geschichte, Die Geschichten","La història, les històries"
God,Der Gott,Die Götter,Der,Gott,gott,0,"Der Gott, Die Götter","El Déu, els déus"
Week,Die Woche,Die Wochen,Die,Woche,woche,1,"Die Woche, Die Wochen","La setmana, les setmanes"
Work,Die Arbeit,-,Die,Arbeit,arbeit,1,"Die Arbeit, -","L'obra, les obres"
Shoulder,Die Schulter,Die Schultern,Die,Schulter,schulter,1,"Die Schulter, Die Schultern","L'espatlla, les espatlles"
Part,Der Teil,Die Teile,Der,Teil,teil,0,"Der Teil, Die Teile","La part, les parts"
Mind,Der Verstand,-,Der,Verstand,verstand,0,"Der Verstand, -","La ment, -"
Book,Das Buch,Die Bücher,Das,Buch,buch,2,"Das Buch, Die Bücher","El llibre, els llibres"
Finger,Der Finger,Die Finger,Der,Finger,finger,0,"Der Finger, Die Finger","El dit, els dits"
Mouth,Der Mund,Die Münder,Der,Mund,mund,0,"Der Mund, Die Münder","La boca, les boques"
Kid,Das Kind,Die Kinder,Das,Kind,kind,2,"Das Kind, Die Kinder","El nen, els nens"
