english,x,y
Time,temps,0
Man,home,0
Hand,mà,1
Day,dia,0
Way,camí,0
Eye,ull,0
Thing,cosa,1
Head,cap,0
Year,any,0
Room,habitació,1
Door,porta,1
Woman,dona,1
Face,cara,1
Mother,mare,1
People,gent,1
Night,nit,1
House,casa,1
Father,pare,0
Life,vida,1
Back,esquena,1
Voice,veu,1
Girl,noia,1
Place,lloc,0
Boy,noi,0
Car,cotxe,0
Side,pàgina,1
Arm,braç,0
Child,nen,0
Word,paraula,1
Moment,moment,0
Hair,cabell,0
Foot,peu,0
Water,aigua,1
Light,llum,1
World,món,0
Name,nom,0
Friend,amic,0
Window,finestra,1
Body,cos,0
Table,taula,1
Morning,matí,0
Bed,llit,0
Wall,paret,1
Street,carrer,0
School,escola,1
Air,aire,0
Floor,sòl,0
Hour,hora,1
End,final,0
Family,família,1
Minute,minut,0
Story,història,1
God,déu,0
Week,setmana,1
Work,obra,1
Shoulder,espatlla,1
Part,part,1
Mind,ment,1
Book,llibre,0
Finger,dit,0
Mouth,boca,1
Glass,vidre,0
Tree,arbre,0
Sound,so,0
Line,línia,1
Heart,cor,0
Money,diner,0
Phone,telèfon,0
Look,mirada,1
Leg,cama,1
Chair,cadira,1
Office,oficina,1
Brother,germà,0
Question,pregunta,1
City,ciutat,1
Month,mes,0
Baby,nadó,0
Home,llar,1
Dog,gos,0
Idea,idea,1
Kitchen,cuina,1
Lot,terra,1
Son,fill,0
Job,feina,1
Paper,paper,0
Sister,germana,1
Smile,somriure,0
Point,punt,0
Thought,pensament,0
Love,amor,0
Death,mort,1
Others,altre,0
Fire,foc,0
Step,pas,0
Blood,sang,1
Fact,fet,0
Breath,respiració,1
Lip,llavi,0
Sun,sol,0
Building,edifici,0
Number,número,0
Husband,marit,0
Parent,pares,0
Corner,cantonada,1
Problem,problema,0
Couple,parella,1
Daughter,filla,1
Bag,bossa,1
Hell,infern,0
Rest,tranquil·litat,1
Business,negoci,0
Sky,cel,0
Box,caixa,1
Person,persona,1
Reason,raó,1
Right,dreta,1
Skin,pell,1
Case,cas,0
Piece,joc,0
Doctor,metge,0
Edge,vora,1
Picture,imatge,1
Sense,sentits,0
Ear,orella,1
Second,segon,0
Lady,dama,1
Neck,coll,0
Wind,vent,0
Desk,escriptori,0
Gun,arma,1
Stone,pedra,1
Coffee,cafè,0
Ship,vaixell,0
Food,menjar,0
Horse,cavall,0
Field,camp,0
War,guerra,1
Afternoon,tarda,1
Sir,senyor,0
Space,espai,1
Letter,carta,1
Bar,bar,0
Dream,somni,0
Apartment,apartament,0
Chest,pit,0
Summer,estiu,0
Matter,assumpte,0
Silence,silenci,0
Rock,roca,1
Power,poder,0
Clothes,roba,1
Sign,signe,0
Attention,atenció,1
Music,música,1
State,estat,1
Dinner,sopar,0
Hall,vestíbul,0
Pain,dolor,0
Age,edat,1
River,riu,0
Chance,oportunitat,1
Nose,nas,0
Shadow,ombra,1
Police,policia,1
Memory,memòria,1
Color,color,0
Knee,genoll,0
Wood,fusta,1
Shirt,camisa,1
Party,festa,1
Country,país,0
Truck,camions,0
Tooth,dent,1
Bill,projecte,0
Scene,escena,1
Star,estrella,1
Bird,ocell,0
Bedroom,dormitori,0
Uncle,oncle,0
Group,grup,0
Truth,veritat,1
Trouble,dificultat,1
Crowd,multitud,1
Station,estació,1
Tear,llàgrima,1
Class,classe,1
Sea,mar,0
Animal,animal,0
Center,centre,0
Feeling,sentiment,0
Mountain,muntanya,1
Shoe,sabata,1
Cat,gat,0
Screen,pantalla,1
Bottle,ampolla,1
Call,trucada,1
Living,sala,1
Cheek,galta,1
Student,alumne,0
Ball,pilota,1
Sight,vista,1
Hill,turó,0
Company,empresa,1
Church,església,1
Rain,pluja,1
Suit,vestit,0
One,únic,0
Direction,direcció,1
Will,voluntat,1
Middle,mig,0
Answer,resposta,1
Stuff,eina,1
Hospital,hospital,0
Camera,càmera,1
Card,mapa,0
