english,singular,plural,article,noun,x,y
Time,Die Zeit,Die Zeiten,Die,Zeit,zeit,1
Man,Der Mann,Die Männer,Der,Mann,mann,0
Hand,Die Hand,Die Hände,Die,Hand,hand,1
Day,Der Tag,Die Tage,Der,Tag,tag,0
Way,Der Weg,Die Wege,Der,Weg,weg,0
Eye,Das Auge,Die Augen,Das,Auge,auge,2
Thing,Die Sache,Die Sachen,Die,Sache,sache,1
Head,Der Kopf,Die Köpfe,Der,Kopf,kopf,0
Year,Das Jahr,Die Jahre,Das,Jahr,jahr,2
Room,Das Zimmer,Die Zimmer,Das,Zimmer,zimmer,2
Door,Die Tür,Die Türen,Die,Tür,tür,1
Woman,Die Frau,Die Frauen,Die,Frau,frau,1
Face,Das Gesicht,Die Gesichter,Das,Gesicht,gesicht,2
Mother,Die Mutter,Die Mütter,Die,Mutter,mutter,1
People,Die Leute,-,Die,Leute,leute,1
Night,Die Nacht,Die Nächte,Die,Nacht,nacht,1
House,Das Haus,Die Häuser,Das,Haus,haus,2
Father,Der Vater,Die Väter,Der,Vater,vater,0
Life,Das Leben,Die Leben,Das,Leben,leben,2
Back,Der Rücken,Die Rücken,Der,Rücken,rücken,0
Voice,Die Stimme,Die Stimmen,Die,Stimme,stimme,1
Girl,Das Mädchen,Die Mädchen,Das,Mädchen,mädchen,2
Place,Der Ort,Die Orte,Der,Ort,ort,0
Boy,Der Junge,Die Jungen,Der,Junge,junge,0
Car,Das Auto,Die Autos,Das,Auto,auto,2
Side,Die Seite,Die Seiten,Die,Seite,seite,1
Arm,Der Arm,Die Arme,Der,Arm,arm,0
Child,Das Kind,Die Kinder,Das,Kind,kind,2
Word,Das Wort,Die Wörter,Das,Wort,wort,2
Moment,Der Moment,Die Momente,Der,Moment,moment,0
Hair,Das Haar,Die Haare,Das,Haar,haar,2
Foot,Der Fuß,Die Füße,Der,Fuß,fuß,0
Water,Das Wasser,-,Das,Wasser,wasser,2
Light,Das Licht,Die Lichter,Das,Licht,licht,2
World,Die Welt,Die Welten,Die,Welt,welt,1
Name,Der Name,Die Namen,Der,Name,name,0
Friend,Der Freund,Die Freunde,Der,Freund,freund,0
Window,Das Fenster,Die Fenster,Das,Fenster,fenster,2
Body,Der Körper,Die Körper,Der,Körper,körper,0
Table,Der Tisch,Die Tische,Der,Tisch,tisch,0
Morning,Der Morgen,Die Morgen,Der,Morgen,morgen,0
Bed,Das Bett,Die Betten,Das,Bett,bett,2
Wall,Die Wand,Die Wände,Die,Wand,wand,1
Street,Die Straße,Die Straßen,Die,Straße,straße,1
School,Die Schule,Die Schulen,Die,Schule,schule,1
Air,Die Luft,-,Die,Luft,luft,1
Floor,Der Boden,Die Böden,Der,Boden,boden,0
Hour,Die Stunde,Die Stunden,Die,Stunde,stunde,1
End,Das Ende,Die Enden,Das,Ende,ende,2
Family,Die Familie,Die Familien,Die,Familie,familie,1
Guy,Der Kerl,Die Kerle,Der,Kerl,kerl,0
Minute,Die Minute,Die Minuten,Die,Minute,minute,1
Story,Die Geschichte,Die Geschichten,Die,Geschichte,geschichte,1
God,Der Gott,Die Götter,Der,Gott,gott,0
Week,Die Woche,Die Wochen,Die,Woche,woche,1
Work,Die Arbeit,-,Die,Arbeit,arbeit,1
Shoulder,Die Schulter,Die Schultern,Die,Schulter,schulter,1
Part,Der Teil,Die Teile,Der,Teil,teil,0
Mind,Der Verstand,-,Der,Verstand,verstand,0
Book,Das Buch,Die Bücher,Das,Buch,buch,2
Finger,Der Finger,Die Finger,Der,Finger,finger,0
Mouth,Der Mund,Die Münder,Der,Mund,mund,0
Glass,Das Glas,Die Gläser,Das,Glas,glas,2
Tree,Der Baum,Die Bäume,Der,Baum,baum,0
Sound,Der Klang,Die Klänge,Der,Klang,klang,0
Line,Die Linie,Die Linien,Die,Linie,linie,1
Wife,Die Ehefrau,Die Ehefrauen,Die,Ehefrau,ehefrau,1
Heart,Das Herz,Die Herzen,Das,Herz,herz,2
Money,Das Geld,-,Das,Geld,geld,2
Phone,Das Telefon,Die Telefone,Das,Telefon,telefon,2
Look,Der Blick,Die Blicke,Der,Blick,blick,0
Leg,Das Bein,Die Beine,Das,Bein,bein,2
Chair,Der Stuhl,Die Stühle,Der,Stuhl,stuhl,0
Office,Das Büro,Die Büros,Das,Büro,büro,2
Brother,Der Bruder,Die Brüder,Der,Bruder,bruder,0
Question,Die Frage,Die Fragen,Die,Frage,frage,1
City,Die Stadt,Die Städte,Die,Stadt,stadt,1
Month,Der Monat,Die Monate,Der,Monat,monat,0
Baby,Das Baby,Die Babys,Das,Baby,baby,2
Home,Das Zuhause,Die Zuhause,Das,Zuhause,zuhause,2
Dog,Der Hund,Die Hunde,Der,Hund,hund,0
Idea,Die Idee,Die Ideen,Die,Idee,idee,1
Kitchen,Die Küche,Die Küchen,Die,Küche,küche,1
Lot,Das Grundstück,Die Grundstücke,Das,Grundstück,grundstück,2
Son,Der Sohn,Die Söhne,Der,Sohn,sohn,0
Job,Der Job,Die Jobs,Der,Job,job,0
Paper,Das Papier,Die Papiere,Das,Papier,papier,2
Sister,Die Schwester,Die Schwestern,Die,Schwester,schwester,1
Smile,Das Lächeln,Die Lächeln,Das,Lächeln,lächeln,2
Point,Der Punkt,Die Punkte,Der,Punkt,punkt,0
Thought,Der Gedanke,Die Gedanken,Der,Gedanke,gedanke,0
Love,Die Liebe,-,Die,Liebe,liebe,1
Death,Der Tod,Die Tode,Der,Tod,tod,0
Others,Die Anderen,-,Die,Anderen,anderen,1
Fire,Das Feuer,Die Feuer,Das,Feuer,feuer,2
Step,Der Schritt,Die Schritte,Der,Schritt,schritt,0
Blood,Das Blut,-,Das,Blut,blut,2
Fact,Die Tatsache,Die Tatsachen,Die,Tatsache,tatsache,1
Breath,Der Atem,Die Atemzüge,Der,Atem,atem,0
Lip,Die Lippe,Die Lippen,Die,Lippe,lippe,1
Sun,Die Sonne,Die Sonnen,Die,Sonne,sonne,1
Building,Das Gebäude,Die Gebäude,Das,Gebäude,gebäude,2
Number,Die Nummer,Die Nummern,Die,Nummer,nummer,1
Husband,Der Ehemann,Die Ehemänner,Der,Ehemann,ehemann,0
Parent,Der Elternteil,Die Elternteile,Der,Elternteil,elternteil,0
Corner,Die Ecke,Die Ecken,Die,Ecke,ecke,1
Problem,Das Problem,Die Probleme,Das,Problem,problem,2
Couple,Das Paar,Die Paare,Das,Paar,paar,2
Daughter,Die Tochter,Die Töchter,Die,Tochter,tochter,1
Bag,Die Tasche,Die Taschen,Die,Tasche,tasche,1
Hell,Die Hölle,-,Die,Hölle,hölle,1
