english,singular,plural,article,noun,x,y,possessive,croatian,n_words
Time,Die Zeit,Die Zeiten,Die,Zeit,vrijeme,2,moje,Moje vrijeme,2
Man,Der Mann,Die Männer,Der,Mann,muž,0,moj,Moj muž,2
Hand,Die Hand,Die Hände,Die,Hand,ruka,1,moja,Moja ruka,2
Day,Der Tag,Die Tage,Der,Tag,dan,0,moj,Moj dan,2
Way,Der Weg,Die Wege,Der,Weg,put,0,moj,Moj put,2
Eye,Das Auge,Die Augen,Das,Auge,oko,2,moje,Moje oko,2
Thing,Die Sache,Die Sachen,Die,Sache,stvar,1,moja,Moja stvar,2
Head,Der Kopf,Die Köpfe,Der,Kopf,glava,1,moja,Moja glava,2
Year,Das Jahr,Die Jahre,Das,Jahr,godina,1,moja,Moja godina,2
Room,Das Zimmer,Die Zimmer,Das,Zimmer,soba,1,moja,Moja soba,2
Door,Die Tür,Die Türen,Die,Tür,vrata,1,moja,Moja vrata,2
Woman,Die Frau,Die Frauen,Die,Frau,žena,1,moja,Moja žena,2
Face,Das Gesicht,Die Gesichter,Das,Gesicht,lice,2,moje,Moje lice,2
Mother,Die Mutter,Die Mütter,Die,Mutter,majka,1,moja,Moja majka,2
Night,Die Nacht,Die Nächte,Die,Nacht,noć,1,moja,Moja noć,2
House,Das Haus,Die Häuser,Das,Haus,kuća,1,moja,Moja kuća,2
Father,Der Vater,Die Väter,Der,Vater,otac,0,moj,Moj otac,2
Life,Das Leben,Die Leben,Das,Leben,život,0,moj,Moj život,2
Back,Der Rücken,Die Rücken,Der,Rücken,leđa,1,moja,Moja leđa,2
Voice,Die Stimme,Die Stimmen,Die,Stimme,glas,0,moj,Moj glas,2
Girl,Das Mädchen,Die Mädchen,Das,Mädchen,djevojka,1,moja,Moja djevojka,2
Place,Der Ort,Die Orte,Der,Ort,mjesto,2,moje,Moje mjesto,2
Boy,Der Junge,Die Jungen,Der,Junge,dječače,0,moj,Moj dječače,2
Car,Das Auto,Die Autos,Das,Auto,auto,0,moj,Moj auto,2
Side,Die Seite,Die Seiten,Die,Seite,stranica,1,moja,Moja stranica,2
Child,Das Kind,Die Kinder,Das,Kind,dijete,2,moje,Moje dijete,2
Word,Das Wort,Die Wörter,Das,Wort,riječ,1,moja,Moja riječ,2
Moment,Der Moment,Die Momente,Der,Moment,trenutak,0,moj,Moj trenutak,2
Hair,Das Haar,Die Haare,Das,Haar,kosa,1,moja,Moja kosa,2
Foot,Der Fuß,Die Füße,Der,Fuß,stopalo,2,moje,Moje stopalo,2
Water,Das Wasser,-,Das,Wasser,voda,1,moja,Moja voda,2
Light,Das Licht,Die Lichter,Das,Licht,svjetlo,2,moje,Moje svjetlo,2
World,Die Welt,Die Welten,Die,Welt,svijet,0,moj,Moj svijet,2
Name,Der Name,Die Namen,Der,Name,ime,2,moje,Moje ime,2
Friend,Der Freund,Die Freunde,Der,Freund,prijatelj,0,moj,Moj prijatelj,2
Window,Das Fenster,Die Fenster,Das,Fenster,prozor,0,moj,Moj prozor,2
Body,Der Körper,Die Körper,Der,Körper,tijelo,2,moje,Moje tijelo,2
Table,Der Tisch,Die Tische,Der,Tisch,stol,0,moj,Moj stol,2
Morning,Der Morgen,Die Morgen,Der,Morgen,jutro,2,moje,Moje jutro,2
Bed,Das Bett,Die Betten,Das,Bett,krevet,0,moj,Moj krevet,2
Wall,Die Wand,Die Wände,Die,Wand,zid,0,moj,Moj zid,2
Street,Die Straße,Die Straßen,Die,Straße,ulica,1,moja,Moja ulica,2
School,Die Schule,Die Schulen,Die,Schule,škola,1,moja,Moja škola,2
Air,Die Luft,-,Die,Luft,zrak,0,moj,Moj zrak,2
Floor,Der Boden,Die Böden,Der,Boden,kat,0,moj,Moj kat,2
Hour,Die Stunde,Die Stunden,Die,Stunde,lekcija,1,moja,Moja lekcija,2
End,Das Ende,Die Enden,Das,Ende,kraj,0,moj,Moj kraj,2
Guy,Der Kerl,Die Kerle,Der,Kerl,momak,0,moj,Moj momak,2
Minute,Die Minute,Die Minuten,Die,Minute,minuta,1,moja,Moja minuta,2
Story,Die Geschichte,Die Geschichten,Die,Geschichte,priča,1,moja,Moja priča,2
Week,Die Woche,Die Wochen,Die,Woche,tjedan,0,moj,Moj tjedan,2
Work,Die Arbeit,-,Die,Arbeit,rad,0,moj,Moj rad,2
Shoulder,Die Schulter,Die Schultern,Die,Schulter,rame,2,moje,Moje rame,2
Part,Der Teil,Die Teile,Der,Teil,dio,0,moj,Moj dio,2
Mind,Der Verstand,-,Der,Verstand,um,0,moj,Moj um,2
Book,Das Buch,Die Bücher,Das,Buch,knjiga,1,moja,Moja knjiga,2
Finger,Der Finger,Die Finger,Der,Finger,prst,0,moj,Moj prst,2
Mouth,Der Mund,Die Münder,Der,Mund,usta,1,moja,Moja usta,2
Glass,Das Glas,Die Gläser,Das,Glas,čaša,1,moja,Moja čaša,2
Tree,Der Baum,Die Bäume,Der,Baum,stablo,2,moje,Moje stablo,2
Sound,Der Klang,Die Klänge,Der,Klang,zvuk,0,moj,Moj zvuk,2
Line,Die Linie,Die Linien,Die,Linie,linija,1,moja,Moja linija,2
Heart,Das Herz,Die Herzen,Das,Herz,srce,2,moje,Moje srce,2
Money,Das Geld,-,Das,Geld,novac,0,moj,Moj novac,2
Phone,Das Telefon,Die Telefone,Das,Telefon,telefon,0,moj,Moj telefon,2
Look,Der Blick,Die Blicke,Der,Blick,pogled,0,moj,Moj pogled,2
Leg,Das Bein,Die Beine,Das,Bein,noga,1,moja,Moja noga,2
Chair,Der Stuhl,Die Stühle,Der,Stuhl,stolica,1,moja,Moja stolica,2
Office,Das Büro,Die Büros,Das,Büro,ured,0,moj,Moj ured,2
Brother,Der Bruder,Die Brüder,Der,Bruder,brat,0,moj,Moj brat,2
Question,Die Frage,Die Fragen,Die,Frage,pitanje,2,moje,Moje pitanje,2
City,Die Stadt,Die Städte,Die,Stadt,grad,0,moj,Moj grad,2
Month,Der Monat,Die Monate,Der,Monat,mjesec,0,moj,Moj mjesec,2
Home,Das Zuhause,Die Zuhause,Das,Zuhause,dom,0,moj,Moj dom,2
Dog,Der Hund,Die Hunde,Der,Hund,pas,0,moj,Moj pas,2
Idea,Die Idee,Die Ideen,Die,Idee,ideja,1,moja,Moja ideja,2
Kitchen,Die Küche,Die Küchen,Die,Küche,kuhinja,1,moja,Moja kuhinja,2
Lot,Das Grundstück,Die Grundstücke,Das,Grundstück,vlasništvo,2,moje,Moje vlasništvo,2
Son,Der Sohn,Die Söhne,Der,Sohn,sin,0,moj,Moj sin,2
