x,y
milosrđe,2
rat,0
kaput,0
predgrađe,2
kurac,0
odrezak,0
zemlja,1
dnevnik,0
radnja,1
lopta,1
vid,0
šator,0
tenis,0
tema,1
polica,1
rukav,0
bluza,1
glumica,1
legenda,1
vlada,1
odbor,0
bundeva,1
tuga,1
zaključak,0
strijela,1
sova,1
protivnik,0
supermarket,0
magarac,0
dolar,0
novčić,0
štrajk,0
mržnja,1
nevjerica,1
bijeda,1
reporter,0
unuk,0
radio,0
kravata,1
barun,0
glazbenik,0
praznina,1
jahač,0
okidač,0
motor,0
kavez,0
svijet,0
inspiracija,1
dijagram,0
nevolja,1
prevoditelj,0
apetit,0
sport,0
djevojka,1
oznaka,1
dahtanje,2
hardver,0
instrument,0
poslodavac,0
ogorčenost,1
diploma,1
pjesnik,0
osovina,1
krava,1
grah,0
spol,0
kanal,0
pločnik,0
avion,0
terasa,1
dina,1
šalica,1
uzbuđenje,2
studije,2
identitet,0
skeniranje,2
vodič,0
dim,0
izbacivač,0
međuvrijeme,2
sadržaj,0
kapak,0
kontura,1
putovnica,1
usporedba,1
dizalo,2
trupa,1
tip,0
pristanište,0
ponoć,1
večer,1
lonac,0
cement,0
simbol,0
razgovor,0
metal,0
tata,0
rana,1
kvaliteta,1
inženjer,0
juha,1
ulaz,0
tinejdžer,0
tratinčica,1
pogled,0
prsten,0
marina,1
književnost,1
palačinka,1
voda,1
vuna,1
udruga,1
ciganin,0
generator,0
boksač,0
svjetlo,2
otpad,0
usluga,1
volonter,0
stvar,1
škare,2
posjetitelj,0
pristanak,0
šećer,0
cijena,1
usta,1
stoljeće,2
violina,1
slatkoća,1
štene,2
šef,0
usamljenik,0
otvor,0
utičnica,1
pitanje,2
prerija,1
policija,1
limuzina,1
zrak,0
stopalo,2
tehnika,1
tartan,0
ljubaznost,1
pripovjedač,0
grudi,2
košarka,1
šansa,1
lavanda,1
svjedok,0
dio,0
auto,0
molitva...,1
oko,2
pjevušenje,2
sladoled,0
razina,1
sjena,1
uniforma,1
krumpir,0
slučajnost,1
zapešće,2
opstanak,0
kutak,0
kreacija,1
kazna,1
virus,0
žaba,1
posao,0
grickalica,1
desetljeće,2
napad,0
referenca,1
bradavica,1
mjerenje,2
kupola,1
sudoper,0
vlasništvo,2
dres,0
prokletstvo,2
sklad,0
baza,1
lopata,1
kupac,0
povrće,2
zločin,0
obećanje,2
glad,1
svila,1
ogrtač,0
djed,0
osumnjičeni,0
pelena,1
bivol,0
poznanik,0
političar,0
papa,0
interval,0
vjenčanje,2
bakar,0
kapacitet,0
ukus,0
antena,1
napomena,1
ambasador,0
svjedočanstvo,2
stado,2
teren,0
šah,0
dah,0
rika,1
civilizacija,1
obraz,0
bobica,1
šepanje,2
povorka,1
buka,1
oprema,1
posada,1
toplina,1
agonija,1
otac,0
baklja,1
nosnica,1
zamjenik,0
iluzija,1
požuda,1
sluh,0
senzor,0
budala,1
bob,0
inženjering,0
koncentracija,1
izgled,0
jug,0
plesačica,1
naočale,2
kolonija,1
poza,1
živica,1
film,0
povjetarac,0
sjever,0
stereo,0
rez,0
godine,2
kostur,0
istraživanje,2
odijelo,2
sustav,0
dijamant,0
stolar,0
dosje,0
umjetnik,0
gospođica,1
novinar,0
koža,1
plaća,1
brod,0
kristal,0
prtljaga,1
znoj,0
guza,1
blizanac,0
pogodba,1
krajolik,0
sigurnost,1
trijem,0
kap,1
čip,0
pluća,1
čekić,0
zatvor,0
poglavlje,2
gušter,0
šok,0
oprost,0
obrok,0
dokaz,0
knjižnica,1
predanost,1
propusnost,1
napredak,0
mraz,0
razlika,1
čelo,2
zbroj,0
želudac,0
farmer,0
ruby,0
kemikalija,1
kokpit,0
deblo,2
kukuruz,0
srce,2
ćelija,1
mladost,1
boravak,0
dijalog,0
razmišljanje,2
čin,0
ribar,0
zlo,2
prigovor,0
san,0
odgovor,0
hamburger,0
očaj,0
oteklina,1
post,0
kolačić,0
usna,1
porculan,0
cedar,0
šal,0
kalendar,0
entuzijazam,0
crtež,0
otpor,0
upit,0
kruh,0
sramota,1
konobar,0
licenca,1
sat,0
limeta,1
dubina,1
odlomak,0
izbjeglica,1
zeko,0
opsesija,1
odjel,0
sjeme,2
lula,1
grm,0
javnost,1
bitka,1
uvod,0
uređaj,0
pouf,0
spiker,0
autoritet,0
lijeva,1
jelovnik,0
ritam,0
poplun,0
bolnica,1
udlaga,1
crkva,1
buđenje,2
klaster,0
samoubojstvo,2
gluposti,2
zaslon,0
nož,0
ceremonija,1
uljez,0
odaja,1
zmaj,0
radnik,0
računalo,2
ideja,1
ustanova,1
razvoj,0
nijansa,1
frustracija,1
teta,1
konvencija,1
bajka,1
zamućenje,2
kreten,0
prikolica,1
okrug,0
znanost,1
naklonost,1
prijava,1
narod,0
život,0
mehanizam,0
srž,1
inspekcija,1
rajčica,1
putnik,0
duhan,0
scena,1
fit,0
penis,0
izdaja,1
laž,1
surfanje,2
potreba,1
zadatak,0
čizma,1
