english,singular,plural,article,noun,x,y,possessive,croatian
Time,Die Zeit,Die Zeiten,Die,Zeit,zeit,1,Meine Zeit,Moje vrijeme
Man,Der Mann,Die Männer,Der,Mann,mann,0,Mein Mann,Moj muž
Hand,Die Hand,Die Hände,Die,Hand,hand,1,Meine Hand,Moja ruka
Day,Der Tag,Die Tage,Der,Tag,tag,0,Mein Tag,Moj dan
Way,Der Weg,Die Wege,Der,Weg,weg,0,Mein Weg,Moj put
Eye,Das Auge,Die Augen,Das,Auge,auge,2,Mein Auge,Moje oko
Thing,Die Sache,Die Sachen,Die,Sache,sache,1,Meine Sache,Moja stvar
Head,Der Kopf,Die Köpfe,Der,Kopf,kopf,0,Mein Kopf,Moja glava
Year,Das Jahr,Die Jahre,Das,Jahr,jahr,2,Mein Jahr,Moja godina
Room,Das Zimmer,Die Zimmer,Das,Zimmer,zimmer,2,Mein Zimmer,Moja soba
Door,Die Tür,Die Türen,Die,Tür,tür,1,Meine Tür,Moja vrata
Woman,Die Frau,Die Frauen,Die,Frau,frau,1,Meine Frau,Moja žena
Face,Das Gesicht,Die Gesichter,Das,Gesicht,gesicht,2,Mein Gesicht,Moje lice
Mother,Die Mutter,Die Mütter,Die,Mutter,mutter,1,Meine Mutter,Moja majka
People,Die Leute,-,Die,Leute,leute,1,Meine Leute,Moji ljudi
Night,Die Nacht,Die Nächte,Die,Nacht,nacht,1,Meine Nacht,Moja noć
House,Das Haus,Die Häuser,Das,Haus,haus,2,Mein Haus,Moja kuća
Father,Der Vater,Die Väter,Der,Vater,vater,0,Mein Vater,Moj otac
Life,Das Leben,Die Leben,Das,Leben,leben,2,Mein Leben,Moj život
Back,Der Rücken,Die Rücken,Der,Rücken,rücken,0,Mein Rücken,Moja leđa
Voice,Die Stimme,Die Stimmen,Die,Stimme,stimme,1,Meine Stimme,Moj glas
Girl,Das Mädchen,Die Mädchen,Das,Mädchen,mädchen,2,Mein Mädchen,Moja djevojka
